batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
177,11:23:32,9.641,8.837,8.197,8.224,2.13,1.756,2.082,9.542,0.972,8.83
118,18:53:47,9.84,7.066,7.713,5.752,3.286,3.582,7.518,4.552,2.343,4.414
739,00:16:05,3.157,1.957,6.941,8.928,5.605,2.176,1.667,8.202,1.847,7.289
407,16:49:19,7.102,0.359,5.08,8.608,5.774,1.327,9.664,9.055,0.744,8.818
432,03:27:28,5.585,2.667,2.974,6.42,7.097,4.172,6.794,7.789,9.184,4.791
283,10:55:35,6.097,5.871,7.653,9.213,3.765,0.99,6.782,6.942,0.863,2.351
175,14:28:45,2.743,2.476,9.838,4.454,8.292,0.485,8.279,8.612,5.193,5.684
600,06:10:16,1.309,9.672,6.493,9.448,8.546,9.042,0.358,8.963,8.317,2.624
552,16:03:35,6.299,5.051,4.259,5.945,5.167,7.885,2.308,1.436,4.886,6.933
366,02:54:27,2.968,7.184,9.876,4.203,8.062,8.281,8.766,8.247,0.812,6.79
