batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
211,21:59:36,5.652,6.17,1.356,1.32,5.32,1.045,4.67,3.581,8.261,7.542
305,05:43:32,8.857,8.971,7.863,9.552,3.986,1.647,8.169,9.425,7.234,7.79
62,23:05:27,8.103,6.65,3.53,8.388,9.778,1.666,3.888,3.402,2.346,0.37
272,11:08:18,3.667,5.114,7.31,0.826,8.412,8.314,0.877,0.447,4.659,3.604
959,19:33:49,7.186,1.474,9.25,2.192,3.949,2.747,3.384,5.205,6.651,1.275
626,13:05:46,9.791,2.205,0.934,5.669,3.239,5.499,8.153,4.502,2.528,2.429
392,02:22:55,9.281,4.645,2.15,6.318,5.179,6.104,4.335,6.352,9.633,3.427
373,18:07:10,5.981,1.401,3.902,2.374,7.415,0.243,8.737,3.118,5.759,7.52
458,23:28:53,5.518,8.187,2.484,4.002,8.632,7.029,0.206,7.008,1.224,4.749
139,05:40:38,4.704,2.602,2.4,9.079,8.0,8.097,5.474,7.51,2.435,6.72
